,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,"HO PAURA DI USCIRE",Salmo,842201,https://open.spotify.com/track/4Nc1FDBI1NUiN48MjTiXEi
146,"DISPOVERY CHANNEL (feat. Nitro)",Salmo,839962,https://open.spotify.com/track/77F0NNChJGfDBp3fTCWaDc
147,"Everybody Dies In Their Nightmares",XXXTENTACION,838280,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
148,"Say My Name","David Guetta",836985,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
149,"16 Lines","Lil Peep",833376,https://open.spotify.com/track/6akBF8JWM8lrpqejdwIfYI
150,"I Like Me Better",Lauv,832798,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
151,"Happy Now",Zedd,827116,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
152,"Yes Indeed","Lil Baby",826555,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
153,Leanin',"Lil Peep",822761,https://open.spotify.com/track/6cX1iTffMIAU8lEWSOYIIO
154,Celoso,"Lele Pons",818855,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
155,"All Girls Are The Same","Juice WRLD",805938,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
156,"Praise The Lord (Da Shine)","A$AP Rocky",802946,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
157,"I'm a Mess","Bebe Rexha",799733,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
158,"SPARARE ALLA LUNA (feat. Coez)",Salmo,797708,https://open.spotify.com/track/4spkZ6gRKh827yp6JI6TN1
159,"Too Good At Goodbyes","Sam Smith",796867,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
160,"Look Alive (feat. Drake)","BlocBoy JB",796672,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
161,"Born To Be Yours",Kygo,793671,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
162,"XO TOUR Llif3","Lil Uzi Vert",781751,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
163,"Bullet In A Gun","Imagine Dragons",777480,https://open.spotify.com/track/3R4Xk37WTagjzODMNEQLvs
164,"Love Lies (with Normani)",Khalid,774958,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
165,"A.L.L.T.Y. 3","Trippie Redd",772644,https://open.spotify.com/track/2ppse4DOEFlzaW7Xu3U76r
166,"Lean Wit Me","Juice WRLD",769415,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
167,PPP,"Kevin Roldan",765027,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
168,idontwannabeyouanymore,"Billie Eilish",764722,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
